businesses__id,businesses__alias,businesses__name,businesses__image_url,businesses__is_closed,businesses__url,businesses__review_count,businesses__rating,businesses__coordinates__latitude,businesses__coordinates__longitude,businesses__transactions__001,businesses__transactions__002,businesses__price,businesses__location__address1,businesses__location__address2,businesses__location__address3,businesses__location__city,businesses__location__city__cleaned,businesses__location__zip_code,businesses__location__country,businesses__location__state,businesses__location__display_address__001,businesses__location__display_address__002,businesses__location__display_address__003,businesses__location__display_address__004,businesses__phone,businesses__display_phone,businesses__distance,total,region__center__longitude,region__center__latitude
iSE_LieK4AUM8A5c0-dlzg,new-dong-khanh-boston,New Dong Khanh,https://s3-media4.fl.yelpcdn.com/bphoto/RSwo-a55udykuN4CksHZrA/o.jpg,FALSE,https://www.yelp.com/biz/new-dong-khanh-boston?adjust_creative=XVbVhPqSrR_Fif5jmW04wQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XVbVhPqSrR_Fif5jmW04wQ,502,4,42.35098399,-71.06144182,,,$,83 Harrison Ave,,,Boston,Boston,2111,US,MA,83 Harrison Ave,"Boston, MA 02111",,,+16174269410,(617) 426-9410,838.6405341,46,-71.07124329,42.34784169
3DtTVTvn8FgmGuEfogXSmg,my-thai-vegan-cafe-boston-3,My Thai Vegan Cafe,https://s3-media2.fl.yelpcdn.com/bphoto/ORw6l4dCfkIBiiK9ZGjkFg/o.jpg,FALSE,https://www.yelp.com/biz/my-thai-vegan-cafe-boston-3?adjust_creative=XVbVhPqSrR_Fif5jmW04wQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XVbVhPqSrR_Fif5jmW04wQ,723,4,42.35146597,-71.06255665,,,$$,3 Beach St,Fl 2,,Boston,Boston,2111,US,MA,3 Beach St,Fl 2,"Boston, MA 02111",,+16174512395,(617) 451-2395,784.8642556,,,
HlcPuY7eMTtuGO_cq10LrQ,tea-do-contemporary-tea-house-boston,Tea Do Contemporary Tea House,https://s3-media3.fl.yelpcdn.com/bphoto/kehAPW6Q7f8C3HmoaO9SWQ/o.jpg,FALSE,https://www.yelp.com/biz/tea-do-contemporary-tea-house-boston?adjust_creative=XVbVhPqSrR_Fif5jmW04wQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XVbVhPqSrR_Fif5jmW04wQ,502,4,42.351155,-71.060512,,,$,8 Tyler St,,,Boston,Boston,2111,US,MA,8 Tyler St,"Boston, MA 02111",,,+16179888002,(617) 988-8002,920.1669056,,,
QbG-Ju21BhbPaNztMx8p1w,dolphin-bay-boston,Dolphin Bay,https://s3-media2.fl.yelpcdn.com/bphoto/uZAxRa0P18Nhozmmp_TLig/o.jpg,FALSE,https://www.yelp.com/biz/dolphin-bay-boston?adjust_creative=XVbVhPqSrR_Fif5jmW04wQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XVbVhPqSrR_Fif5jmW04wQ,368,4.5,42.35245951,-71.12880241,pickup,,$,72 Brighton Ave,,,Boston,Boston,2134,US,MA,72 Brighton Ave,"Boston, MA 02134",,,+16175621668,(617) 562-1668,4782.424901,,,
ruQmMfMd9YAxj9I47FvxVA,cuongs-vegan-sandwiches-boston-2,Cuong's Vegan Sandwiches,https://s3-media1.fl.yelpcdn.com/bphoto/DjPIBDYAuqDMveUb7sTKxw/o.jpg,FALSE,https://www.yelp.com/biz/cuongs-vegan-sandwiches-boston-2?adjust_creative=XVbVhPqSrR_Fif5jmW04wQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XVbVhPqSrR_Fif5jmW04wQ,82,4.5,42.35145164,-71.06248613,,,$,5 Beach St,,,Boston,Boston,2111,US,MA,5 Beach St,"Boston, MA 02111",,,+16174225898,(617) 422-5898,794.1756444,,,
dBEr7RLilPrgTCM2GxJcKA,love-art-sushi-boston,Love Art Sushi,https://s3-media2.fl.yelpcdn.com/bphoto/ZQTNR9Rp0ENVo3GeTUBeDQ/o.jpg,FALSE,https://www.yelp.com/biz/love-art-sushi-boston?adjust_creative=XVbVhPqSrR_Fif5jmW04wQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XVbVhPqSrR_Fif5jmW04wQ,175,4,42.34662,-71.08747,pickup,delivery,$$,1 Haviland St,,null,Boston,Boston,2115,US,MA,1 Haviland St,"Boston, MA 02115",,,+16179826953,(617) 982-6953,1370.726757,,,
UKCwWu4CZkNnR9dGbfi7CQ,limered-tea-house-boston,LimeRed Tea House,https://s3-media2.fl.yelpcdn.com/bphoto/WuMNdj3g1eZY9Hn0U97qJg/o.jpg,FALSE,https://www.yelp.com/biz/limered-tea-house-boston?adjust_creative=XVbVhPqSrR_Fif5jmW04wQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XVbVhPqSrR_Fif5jmW04wQ,91,4,42.35194804,-71.12408537,delivery,pickup,$,1092 Commonwealth Ave,,null,Boston,Boston,2215,US,MA,1092 Commonwealth Ave,"Boston, MA 02215",,,+16173964541,(617) 396-4541,4391.065984,,,
NW6xfyanqKlrEkpnLssreg,happy-lemon-boston-boston,Happy Lemon Boston,https://s3-media3.fl.yelpcdn.com/bphoto/9-habCIASgdlUFWBLyS9uA/o.jpg,FALSE,https://www.yelp.com/biz/happy-lemon-boston-boston?adjust_creative=XVbVhPqSrR_Fif5jmW04wQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XVbVhPqSrR_Fif5jmW04wQ,86,4.5,42.35575555,-71.0604035,,,$,417 Washington St,null,,Boston,Boston,2108,US,MA,417 Washington St,"Boston, MA 02108",,,+16178627812,(617) 862-7812,1213.794241,,,
7uWIBEisXtqoFMhwNZsgyA,kung-fu-tea-boston-4,Kung Fu Tea,https://s3-media4.fl.yelpcdn.com/bphoto/tn_EEE4baxdNlb9vGimSTA/o.jpg,FALSE,https://www.yelp.com/biz/kung-fu-tea-boston-4?adjust_creative=XVbVhPqSrR_Fif5jmW04wQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XVbVhPqSrR_Fif5jmW04wQ,129,3.5,42.35055542,-71.06061554,delivery,,$,66 Kneeland St,,,Boston,Boston,2111,US,MA,66 Kneeland St,"Boston, MA 02111",,,+16175428838,(617) 542-8838,884.951896,,,
RDzV57rWFU0eXPeqTCl7UA,tealuxe-cambridge,Tealuxe,https://s3-media1.fl.yelpcdn.com/bphoto/pi0nk61M-f2gPJeNgwNgEQ/o.jpg,FALSE,https://www.yelp.com/biz/tealuxe-cambridge?adjust_creative=XVbVhPqSrR_Fif5jmW04wQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=XVbVhPqSrR_Fif5jmW04wQ,367,4,42.37321,-71.119916,,,$,0 Brattle St,,,Cambridge,Boston,2138,US,MA,0 Brattle St,"Cambridge, MA 02138",,,+16174410077,(617) 441-0077,4901.141928,,,
